Restaurant ID,Price range,Aggregate rating,Votes,Rating text
7330638,2,4.3,287,Very Good
7330628,3,4,264,Very Good
7330546,3,4.4,235,Very Good
6643459,2,3,6,Average
7334434,2,3.7,38,Good
7334348,0,4.4,22,Very Good
7334203,2,4.4,207,Very Good
7334355,0,3.9,66,Good
7334202,0,4.9,249,Excellent
7333797,2,3.8,63,Good
7334207,3,3.8,45,Good
7334273,0,3.8,83,Good
7334254,2,3.7,6,Good
7333836,0,4,22,Very Good
7334097,0,4,42,Very Good
7333882,0,4,4,Very Good
7334200,2,4.6,204,Excellent
7334390,0,4.3,6,Very Good
7334034,2,4.2,0,Very Good
7334404,0,3.7,25,Good
7334082,0,4,28,Very Good
7334364,0,4.3,244,Very Good
7334398,0,4.2,2,Very Good
7334209,0,4,44,Very Good
7335073,2,4.6,66,Excellent
7335095,3,4.5,208,Excellent
7335225,2,3.9,36,Good
7335209,0,4,85,Very Good
7334965,2,4,7,Very Good
7335089,2,3.4,53,Average
7335056,2,4.9,474,Excellent
7334707,0,3.9,25,Good
7334752,4,3.7,200,Good
8453427,2,0,2,Not Rated
7793744,2,0,3,Not Rated
7334679,0,4.3,67,Very Good
7334708,2,4,2,Very Good
7334763,2,4,256,Very Good
7335058,0,4.3,23,Very Good
7334782,2,4,99,Very Good
7334846,2,4,57,Very Good
7334853,2,4,0,Very Good
7335068,3,4.2,40,Very Good
7334958,2,4.2,97,Very Good
7258496,2,4.5,25,Excellent
7259395,2,4.9,570,Excellent
7258350,3,4.5,674,Excellent
7258036,2,4,496,Very Good
7258522,2,4,400,Very Good
7259958,2,3.2,3,Average
7258036,3,4.5,9,Excellent
7259368,2,4.6,728,Excellent
7257684,0,4.4,659,Very Good
7258054,3,4.2,370,Very Good
7259340,3,4.3,532,Very Good
7259243,2,4.8,860,Excellent
7259625,0,4.2,943,Very Good
7259069,4,4,476,Very Good
7259066,0,4,208,Very Good
7259335,0,4,204,Very Good
7259248,2,4.3,699,Very Good
7258552,2,3.8,308,Good
7259550,2,4,57,Very Good
7259200,3,4.2,530,Very Good
6605894,0,3.6,29,Good
7342806,0,3.4,33,Average
7342498,2,3.3,40,Average
7342648,0,3.4,53,Average
7342780,2,3.3,65,Average
7342799,2,3.4,58,Average
7342772,2,3.5,0,Good
7342770,0,3.6,56,Good
7342548,0,3.5,74,Good
7342556,2,3.6,7,Good
7342800,3,3.7,83,Good
7342576,2,3.6,48,Good
7342770,3,3.8,98,Good
7342585,0,3.5,26,Good
7342494,0,3.5,9,Good
7342594,2,3.6,40,Good
7342625,3,3.6,59,Good
7342652,2,3.6,30,Good
7342665,0,3.5,60,Good
7342800,2,3.7,89,Good
7342775,4,3.6,72,Good
6602028,2,4,56,Very Good
7536645,0,3.7,83,Good
6603507,3,3.5,37,Good
6607969,2,3.7,29,Good
7374405,2,4.4,239,Very Good
7375060,0,4,235,Very Good
7375064,2,3.8,88,Good
7374552,3,3.9,209,Good
7375078,0,3.9,33,Good
7375049,0,4.4,267,Very Good
7375077,2,4,70,Very Good
7375040,2,3.8,7,Good
7375098,3,4.3,64,Very Good
7375080,0,4,82,Very Good
7375072,2,4.9,680,Excellent
7375047,0,4.6,357,Excellent
7375074,2,3.8,89,Good
7374920,2,4.2,350,Very Good
7374809,0,4.3,298,Very Good
7375089,2,4.2,309,Very Good
7375204,3,3.8,4,Good
7374950,0,3.9,36,Good
7374978,2,2.2,8,Poor
7375004,0,4,60,Very Good
6604358,2,3.8,92,Good
6604896,0,3.8,93,Good
6602550,2,4,40,Very Good
6606299,0,3.7,0,Good
6605794,0,3.8,97,Good
7557488,0,3.6,40,Good
7452342,2,4.5,799,Excellent
6600498,2,3.6,8,Good
7842004,2,3.5,30,Good
7500290,2,3.9,46,Good
7500759,0,4.9,478,Excellent
7500767,2,4.6,467,Excellent
7500809,2,4.5,302,Excellent
7500900,2,4.5,289,Excellent
7500439,3,3.8,2,Good
7500279,3,4,293,Very Good
7500695,4,4,95,Very Good
7500298,0,4.3,244,Very Good
7500847,4,4.2,379,Very Good
7500872,0,4.2,223,Very Good
7500305,2,3.7,243,Good
7500200,2,3.7,4,Good
7500247,0,3.7,53,Good
7500280,2,3.8,323,Good
7500043,0,4,80,Very Good
7500292,2,4,306,Very Good
7500308,2,4.2,288,Very Good
7500300,0,4,232,Very Good
7500268,3,4,304,Very Good
6600700,2,2.9,0,Average
7482042,0,2.4,7,Poor
6609069,3,3.8,76,Good
7606620,0,3.4,0,Average
7687832,2,3.6,65,Good
6603059,3,2.4,93,Poor
7534788,3,3.6,30,Good
7060237,3,4.4,980,Very Good
7057397,3,4.5,50,Excellent
7058534,3,4.7,340,Excellent
7060320,4,4.3,782,Very Good
7057925,3,4.6,293,Excellent
7060869,4,4.6,2324,Excellent
7057590,3,4.3,900,Very Good
7059540,4,4.4,886,Very Good
7064266,3,4.6,293,Excellent
7064405,0,4.4,570,Very Good
7060506,4,4.4,685,Very Good
7059002,3,4.8,699,Excellent
7060296,2,4.9,457,Excellent
7060205,3,4.9,252,Excellent
7064030,2,4.7,402,Excellent
7066603,2,3.6,432,Good
7057797,3,4.2,568,Very Good
7060253,2,4.4,797,Very Good
7059060,3,4.4,58,Very Good
7060230,3,4.4,998,Very Good
6603649,3,4.4,380,Very Good
8255630,4,2.6,6,Average
6608483,2,3.4,9,Average
7580453,2,4.2,635,Very Good
7580042,3,4.9,2238,Excellent
7580060,0,4.6,792,Excellent
7580349,0,4.5,828,Excellent
7580402,3,3.7,292,Good
7580590,2,3.9,502,Good
7580704,2,3.7,559,Good
7579928,2,4.2,268,Very Good
7579992,3,4,669,Very Good
7580030,3,4.4,900,Very Good
7580074,2,4.3,765,Very Good
7580020,3,4,270,Very Good
7580350,2,4,502,Very Good
7580408,3,3.9,724,Good
7579653,3,3.5,479,Good
7580476,2,4.2,590,Very Good
7580422,3,4.4,408,Very Good
7580539,3,4.3,905,Very Good
7580500,0,4.7,806,Excellent
7580020,3,4.4,747,Very Good
6604370,2,3.7,350,Good
7582467,0,3.7,4,Good
7582668,3,3.5,83,Good
7582498,0,3.6,90,Good
7582499,0,3.6,59,Good
7582522,3,3.7,222,Good
7582524,3,3.6,20,Good
7582527,0,3.5,93,Good
7582550,0,3.8,36,Good
7582558,0,3.8,60,Good
7582560,2,3.7,52,Good
7582677,0,3.5,57,Good
7582670,2,3.7,90,Good
7582625,3,3.6,85,Good
7582627,0,3.6,8,Good
7582700,2,3.6,32,Good
7582664,2,3.8,40,Good
7582682,2,3.7,62,Good
7582669,3,3.6,44,Good
8490935,2,0,0,Not Rated
7582546,0,4,365,Very Good
7629582,2,3.3,9,Average
7200709,4,4,542,Very Good
7044707,2,4.5,690,Excellent
7043970,3,4.7,764,Excellent
7042698,0,4.7,707,Excellent
7044990,3,4.5,487,Excellent
7042509,0,4.5,695,Excellent
7045408,3,4.2,485,Very Good
7043336,3,4.2,807,Very Good
7045077,0,4.6,723,Excellent
7040447,0,4.2,874,Very Good
7042096,2,4.4,552,Very Good
7042297,3,4.3,56,Very Good
7042535,3,4.3,707,Very Good
7042792,4,4.9,343,Excellent
7045495,0,4.9,602,Excellent
7043950,3,4.6,78,Excellent
7042747,2,3.9,232,Good
7040990,4,4.4,492,Very Good
7044732,0,4,535,Very Good
7043282,4,4.2,530,Very Good
7043705,2,4.2,694,Very Good
7605905,3,3.3,200,Average
7606487,3,4.7,906,Excellent
7605924,0,4.6,880,Excellent
7605979,3,4.5,4,Excellent
7606266,2,4.5,796,Excellent
7605976,2,3.7,747,Good
7606025,3,3.8,566,Good
7605597,2,4,683,Very Good
7605740,2,4.4,690,Very Good
7606203,0,4.2,680,Very Good
7606590,0,4,287,Very Good
7605855,3,4,802,Very Good
7606348,2,4.3,700,Very Good
7606368,0,4.3,456,Very Good
7606400,4,4,687,Very Good
7606076,2,4.3,709,Very Good
7606205,4,4.4,803,Very Good
7606222,4,4,558,Very Good
7606295,3,3.8,883,Good
7606465,0,3.9,309,Good
8483372,4,3.4,34,Average
8484349,4,4,33,Very Good
8496057,4,3.8,33,Good
8483389,4,3,34,Average
8483222,4,3.8,35,Good
8483085,4,3.9,33,Good
8484423,2,4.2,29,Very Good
8483704,4,4,35,Very Good
8485469,3,3.2,29,Average
8479690,4,3.2,30,Average
8483224,3,3.7,33,Good
8493989,3,3,25,Average
8484464,4,3.8,30,Good
8483050,4,3.9,34,Good
8482983,4,3,33,Average
8479742,4,3.2,32,Average
8482938,4,3.2,30,Average
8483082,3,3.8,28,Good
8483446,3,3.9,35,Good
8483252,4,3.2,33,Average
7620606,3,3.7,0,Good
7620696,0,3.6,92,Good
7620744,0,3.8,82,Good
7620759,0,3.6,76,Good
7620763,3,3.7,29,Good
7620780,2,3.6,94,Good
7620780,2,3.8,29,Good
7620788,2,3.8,78,Good
7620793,0,3.7,97,Good
7620796,0,3.9,60,Good
7620830,0,3.7,22,Good
7620832,0,3.8,95,Good
7620833,3,3.7,46,Good
7620834,0,3.7,7,Good
7620869,2,3.8,87,Good
7620960,3,3.9,239,Good
7620746,0,4,303,Very Good
7620755,3,4,280,Very Good
7620946,2,4,270,Very Good
7620552,4,3.5,58,Good
7096040,2,4.6,320,Excellent
7099925,2,4.6,629,Excellent
7092257,2,4,920,Very Good
7092799,2,4,986,Very Good
7095222,2,4,20,Very Good
7092293,4,4.7,3057,Excellent
7002240,3,3.9,665,Good
7002579,4,3.9,373,Good
7092800,2,4.4,7,Very Good
7093273,2,4.4,803,Very Good
7096098,3,4.2,363,Very Good
7095098,0,4.9,424,Excellent
7093035,3,4.5,844,Excellent
7095236,3,4.9,403,Excellent
7095979,3,4.5,203,Excellent
7099856,3,4.7,3074,Excellent
7000307,3,4.8,705,Excellent
7093600,0,4.5,868,Excellent
7000547,3,4,875,Very Good
7093024,3,4.4,746,Very Good
6608059,3,4.4,339,Very Good
6605094,2,4,87,Very Good
7678243,2,3.4,98,Average
7678043,2,3,83,Average
7677978,3,3.9,230,Good
7677988,3,3.7,206,Good
7678230,3,3.8,85,Good
7677990,2,3.7,85,Good
7677990,0,3.8,280,Good
7678307,3,3.7,37,Good
7678276,2,3.7,209,Good
7678283,0,3.7,68,Good
7678222,2,3.9,243,Good
7678055,3,3.8,220,Good
7678326,0,3.5,46,Good
7678229,2,3.9,262,Good
7678097,2,3.7,83,Good
7678206,4,3.5,208,Good
7678233,2,3.8,245,Good
7678048,2,3.8,99,Good
7678290,3,3.8,225,Good
7678208,2,4,575,Very Good
7558738,0,4.3,88,Very Good
6608209,2,3.6,96,Good
6654702,4,4.3,204,Very Good
7697444,0,3.2,8,Average
7696870,2,3.7,34,Good
7696890,0,3.9,90,Good
7696900,0,3.8,36,Good
7697384,2,3.7,3,Good
7697407,0,3.6,69,Good
7696908,3,3.6,89,Good
7696920,2,3.6,80,Good
7697398,3,3.8,75,Good
7697406,0,3.7,36,Good
7696940,2,3.6,4,Good
7696955,2,3.6,93,Good
7696957,2,3.6,89,Good
7697408,2,3.6,69,Good
7697386,3,3.6,86,Good
7697224,0,3.7,73,Good
7697304,2,3.6,4,Good
7697389,0,3.7,0,Good
7697424,0,3.5,58,Good
7697332,2,3.9,56,Good
7694056,2,3.9,56,Good
7559793,2,3.2,6,Average
6668008,2,3.3,26,Average
8202035,4,4.6,207,Excellent
5704255,4,4.6,376,Excellent
5700978,3,4.4,470,Very Good
5700729,2,4.3,224,Very Good
5704068,3,4.2,228,Very Good
8277098,4,4.6,80,Excellent
5700446,4,4,422,Very Good
5700052,4,4.4,246,Very Good
5702408,3,4,355,Very Good
5700386,2,3.6,268,Good
5704202,3,4.5,62,Excellent
5700052,4,4,205,Very Good
5704008,2,4,277,Very Good
5700548,2,4,380,Very Good
8235425,3,4.3,80,Very Good
5702605,3,4,525,Very Good
5703500,4,4.9,206,Excellent
8253896,4,4.7,200,Excellent
5700907,4,4.2,435,Very Good
5702574,4,4.6,586,Excellent
202320,3,3.9,927,Good
206488,2,4,448,Very Good
209654,2,4.3,280,Very Good
8340880,3,4.5,307,Excellent
8233284,3,4.5,909,Excellent
8269368,3,4.9,640,Excellent
8254060,4,4.9,322,Excellent
208939,3,4.8,2500,Excellent
200530,4,4.5,388,Excellent
208965,3,4.5,403,Excellent
208778,3,4.3,350,Very Good
209703,3,4.3,660,Very Good
8380837,3,4.4,280,Very Good
208850,4,4.9,352,Excellent
200034,3,4.4,552,Very Good
200044,3,3.2,506,Average
200340,3,4.7,2424,Excellent
8289026,3,4.3,386,Very Good
202507,3,3.7,500,Good
200039,3,4.3,544,Very Good
5600424,3,3.9,285,Good
5602750,3,3.8,200,Good
5600457,4,4,372,Very Good
5600642,3,4.3,306,Very Good
8268034,4,3.9,69,Good
8376208,2,4,33,Very Good
5600959,4,4,449,Very Good
5600003,3,4.2,504,Very Good
5602586,3,4,92,Very Good
5600960,3,2.4,54,Poor
5600960,2,4.2,42,Very Good
5600340,3,4.2,444,Very Good
5600700,4,4.2,265,Very Good
5600404,4,3.8,227,Good
5600556,4,3.9,357,Good
5602055,3,4.8,459,Excellent
5600520,4,4,97,Very Good
5602377,4,4.5,43,Excellent
5602884,2,3.8,2,Good
5602942,4,4.2,43,Very Good
3400025,3,3.9,40,Good
3400340,2,3.5,70,Good
3400005,2,3.6,94,Good
3400020,2,4,87,Very Good
3400007,3,4.2,77,Very Good
3400325,4,4,45,Very Good
3400059,4,4.3,33,Very Good
3400060,4,4,40,Very Good
3400348,3,3.6,59,Good
3400072,4,3.8,46,Good
3400073,0,3.9,3,Good
3400009,2,4,20,Very Good
3400033,3,3.4,70,Average
3400346,0,4.9,77,Excellent
3400350,4,3.8,57,Good
3400390,0,3.9,98,Good
3400006,3,3.7,75,Good
3400005,2,4.4,34,Very Good
3400326,3,4.2,66,Very Good
3400392,2,4,68,Very Good
895,3,4.2,582,Very Good
502,4,3.7,305,Good
8396250,0,4.5,207,Excellent
3702,3,4,769,Very Good
3433,3,4.3,730,Very Good
8438909,2,4.4,3,Very Good
8043028,3,4.4,944,Very Good
8438944,3,3.8,63,Good
436,3,3.6,375,Good
8385200,2,4.6,66,Excellent
395,2,4.4,697,Very Good
8335583,3,4.3,325,Very Good
237,2,3.8,432,Good
3537,2,4.3,744,Very Good
3703,2,4,404,Very Good
8385086,2,4.4,307,Very Good
3325,3,4.5,38,Excellent
826,3,4,40,Very Good
506,3,4,92,Very Good
8370340,2,3.9,66,Good
3570,3,4,535,Very Good
2400020,3,3.4,57,Average
2400048,2,3.3,76,Average
2400009,3,3.2,50,Average
2400093,3,3.4,99,Average
2400027,3,3.4,83,Average
7960073,3,3.4,8,Average
2400009,3,3.4,58,Average
2400004,2,3.3,53,Average
2400403,3,3.2,6,Average
2400349,3,3.4,35,Average
2400279,2,3.4,32,Average
2400007,3,3.2,50,Average
8307988,0,3.3,49,Average
2400044,3,3.4,6,Average
2400095,4,3.6,59,Good
2400052,0,3.7,5,Good
2400006,3,3.5,5,Good
2400293,3,3.6,57,Good
2400009,2,3.5,34,Good
2400000,3,3.3,58,Average
2200000,2,3.4,345,Average
2200078,0,3.9,50,Good
8204507,0,4,52,Very Good
2200030,3,3.4,22,Average
2200200,0,3.6,56,Good
2200067,0,3.5,90,Good
2200358,2,3.4,26,Average
2200000,3,3.4,98,Average
2200033,2,3.5,0,Good
2200283,2,3.6,50,Good
2200045,0,3.9,206,Good
2200049,2,3.4,44,Average
2200043,2,3.7,94,Good
2200044,2,3.5,460,Good
2200032,2,3.8,276,Good
2200236,2,3.8,70,Good
2200075,0,4,4,Very Good
2200000,2,4,878,Very Good
2200055,2,3.8,92,Good
2200034,3,3.5,96,Good
2200053,0,4,40,Very Good
2500023,3,3.6,240,Good
2500076,3,3.3,65,Average
2500054,2,3.3,63,Average
2500034,2,3,9,Average
2500069,2,3.4,46,Average
2500256,2,3.4,75,Average
2500024,4,3.4,94,Average
2500075,2,3.3,47,Average
2500029,2,3.4,70,Average
2500079,3,3.6,73,Good
2500343,0,3.5,20,Good
2500052,2,3.3,46,Average
2500062,2,3.3,45,Average
2500056,2,3.4,34,Average
2500030,2,3.7,89,Good
2500390,2,3.2,8,Average
2500007,2,3.4,39,Average
2500023,2,3.3,74,Average
2500022,2,3.3,76,Average
2500346,2,3.3,70,Average
50943,3,4,2406,Very Good
58268,4,4.7,2369,Excellent
50705,4,4.8,934,Excellent
8062866,3,3.9,354,Good
8407908,3,4.2,230,Very Good
56464,2,4,3533,Very Good
8220572,2,4.3,403,Very Good
8359909,2,4.6,780,Excellent
8439634,2,4.7,276,Excellent
50040,2,4.7,9667,Excellent
54062,3,4,5385,Very Good
8305628,0,4.3,753,Very Good
8385443,3,4.5,288,Excellent
56608,3,4.6,6907,Excellent
8353020,3,4.4,983,Very Good
8366652,2,4.6,627,Excellent
8430785,3,4.2,334,Very Good
58882,3,4.5,5705,Excellent
8422898,3,3.9,405,Good
8339874,3,4.4,754,Very Good
2600472,0,3.3,50,Average
2600504,2,3.4,63,Average
2600009,0,4.9,427,Excellent
2600300,2,3.9,26,Good
2600008,2,4.2,223,Very Good
2600030,3,4,257,Very Good
2600250,3,4,3,Very Good
2600025,2,4,8,Very Good
2600494,2,3.8,98,Good
8008352,2,3.8,33,Good
2600079,2,3.5,75,Good
2600340,2,3.6,0,Good
8460339,2,3.6,20,Good
2600000,2,4,3,Very Good
2600230,2,4.4,243,Very Good
2600003,2,4,238,Very Good
2600303,4,4.3,28,Very Good
2600080,2,3.9,60,Good
2600393,3,3.8,79,Good
2600007,2,4.3,20,Very Good
2900587,2,3.9,289,Good
2900354,2,4,379,Very Good
2900633,3,4.6,54,Excellent
8408676,2,4.5,45,Excellent
2900234,2,3.9,247,Good
2900550,2,4,45,Very Good
8362677,2,3.7,8,Good
2900044,3,4,256,Very Good
2900469,0,3.6,73,Good
2900209,2,3.8,424,Good
2900473,0,3.7,338,Good
2900020,2,3.7,228,Good
2900562,0,3.8,253,Good
8403804,2,4,90,Very Good
8235390,0,4,97,Very Good
2900640,2,4.3,69,Very Good
8270459,0,4,99,Very Good
8377283,2,3.8,56,Good
8408600,2,4.2,49,Very Good
2900002,3,4.3,345,Very Good
8436042,0,3.5,89,Good
22003,2,3.7,665,Good
20552,3,4.2,676,Very Good
20204,3,4.3,970,Very Good
20553,3,4,300,Very Good
20302,3,4,428,Very Good
20335,3,4,22,Very Good
20004,3,4.5,450,Excellent
23025,3,4.3,228,Very Good
20220,2,3.8,982,Good
22064,3,3.4,502,Average
20203,2,4,698,Very Good
20209,2,4,397,Very Good
20425,0,4,265,Very Good
23000,2,4.2,252,Very Good
23294,2,3.3,86,Average
20020,4,4.4,807,Very Good
22940,2,4.5,249,Excellent
22830,2,4,356,Very Good
69024,2,4.2,800,Very Good
72475,2,3.8,509,Good
70430,2,4.4,504,Very Good
70443,2,4.2,840,Very Good
73088,3,4.8,262,Excellent
8423075,0,4.2,90,Very Good
70890,0,4.6,500,Excellent
70492,3,4,4,Very Good
70092,3,4,820,Very Good
70393,3,4.6,753,Excellent
70894,3,4.2,704,Very Good
73279,2,3.8,307,Good
69950,3,4.3,607,Very Good
72497,2,4.4,645,Very Good
65403,2,4.3,742,Very Good
70497,3,4.5,200,Excellent
65055,4,4.4,3848,Very Good
8384227,3,4.9,859,Excellent
72604,3,4.6,267,Excellent
66457,2,4,2272,Very Good
8260777,3,4.6,202,Excellent
3000007,2,3.9,308,Good
3000032,2,3.8,24,Good
3000022,2,3.5,274,Good
3000032,2,4.3,47,Very Good
3000020,3,4,243,Very Good
8434000,2,3.8,24,Good
3000095,2,4.5,380,Excellent
3000026,3,3.8,220,Good
8280306,2,3.9,85,Good
3000489,3,4.2,40,Very Good
3000770,2,4,32,Very Good
3000062,3,4,203,Very Good
3000006,4,4,205,Very Good
3000004,2,4.3,225,Very Good
3000000,3,4.2,299,Very Good
3000320,2,4.9,200,Excellent
3000996,2,4.2,220,Very Good
3000065,0,4.3,60,Very Good
3000048,3,4.4,505,Very Good
3500002,3,3.6,2,Good
3500007,3,3.8,5,Good
3500007,3,3.9,40,Good
3500008,4,3.9,73,Good
3500000,3,4.2,406,Very Good
8406632,4,4.9,50,Excellent
8279289,0,4.3,63,Very Good
8408585,4,4,98,Very Good
3500059,3,3.8,230,Good
3500080,3,4,94,Very Good
7970273,2,4,64,Very Good
3500365,3,3.9,30,Good
3500003,3,3.9,0,Good
3500024,3,3.9,20,Good
3500488,2,3.9,39,Good
3500505,4,4.4,66,Very Good
3500000,4,4,75,Very Good
3500404,3,4,4,Very Good
8440677,3,4.2,68,Very Good
3500484,3,4.2,89,Very Good
300728,0,2.9,4,Average
5992,2,2.8,6,Average
300730,0,2.8,8,Average
300729,0,2.9,8,Average
300730,0,2.8,7,Average
300053,0,3,4,Average
9299,0,0,0,Not Rated
9078,0,0,3,Not Rated
8477309,0,0,3,Not Rated
8433852,0,0,0,Not Rated
304046,0,2.9,4,Average
309936,0,3,7,Average
309927,0,2.9,0,Average
8377449,0,0,0,Not Rated
8465870,0,0,0,Not Rated
8472646,0,0,0,Not Rated
8037826,2,2.8,49,Average
300063,2,3.4,58,Average
4930,2,3.4,233,Average
804,3,3.8,508,Good
302002,2,3.6,98,Good
8207857,2,3.6,59,Good
8470268,0,0,0,Not Rated
8380244,0,0,0,Not Rated
